SÃO SEBASTIÃO DA BELA VISTA;52876
SÃO SEBASTIÃO DA VARGEM ALEGRE;42340
SÃO SEBASTIÃO DO ANTA;42366
SÃO SEBASTIÃO DO MARANHÃO;52892
SÃO SEBASTIÃO DO OESTE;52914
SÃO SEBASTIÃO DO PARAÍSO;52930
SÃO SEBASTIÃO DO RIO PRETO;52957
SÃO SEBASTIÃO DO RIO VERDE;52973
SÃO THOMÉ DAS LETRAS;53031
SÃO TIAGO;52990
SÃO TOMÁS DE AQUINO;53015
SÃO VICENTE DE MINAS;53058
SABARÁ;51330
SABINÓPOLIS;51357
SACRAMENTO;51373
SALINAS;51390
SALTO DA DIVISA;51411
SANTA BÁRBARA DO LESTE;40649
SANTA BÁRBARA DO MONTE VERDE;41440
SANTA BÁRBARA DO TUGÚRIO;51454
SANTA BÁRBARA;51438
SANTA CRUZ DE MINAS;41467
SANTA CRUZ DE SALINAS;41483
SANTA CRUZ DO ESCALVADO;51470
SANTA EFIGÊNIA DE MINAS;51497
SANTA FÉ DE MINAS;51519
SANTA HELENA DE MINAS;41505
SANTA JULIANA;51535
SANTA LUZIA;51551
SANTA MARGARIDA;51578
SANTA MARIA DE ITABIRA;51594
SANTA MARIA DO SALTO;51616
SANTA MARIA DO SUAÇUÍ;51632
SANTA RITA DE CALDAS;51837
SANTA RITA DE JACUTINGA;51853
SANTA RITA DE MINAS;40665
SANTA RITA DO IBITIPOCA;51870
SANTA RITA DO ITUETO;51896
SANTA RITA DO SAPUCAÍ;51918
SANTA ROSA DA SERRA;51934
SANTA VITÓRIA;51950
SANTANA DA VARGEM;51659
SANTANA DE CATAGUASES;51675
SANTANA DE PIRAPAMA;51691
SANTANA DO DESERTO;51713
SANTANA DO GARAMBÉU;51730
SANTANA DO JACARÉ;51756
SANTANA DO MANHUAÇU;51772
SANTANA DO PARAÍSO;40681
SANTANA DO RIACHO;51799
SANTANA DOS MONTES;51810
SANTO ANTÔNIO DO AMPARO;51977
SANTO ANTÔNIO DO AVENTUREIRO;51993
SANTO ANTÔNIO DO GRAMA;52019
SANTO ANTÔNIO DO ITAMBÉ;52035
SANTO ANTÔNIO DO JACINTO;52051
SANTO ANTÔNIO DO MONTE;52078
SANTO ANTÔNIO DO RETIRO;41521
SANTO ANTÔNIO DO RIO ABAIXO;52094
SANTO HIPÓLITO;52116
SANTOS DUMONT;52132
SAPUCAÍ MIRIM;53074
SARDOÁ;53090
SARZEDO;40800
SEM PEIXE;40827
SENADOR AMARAL;40843
SENADOR CORTES;53112
SENADOR FIRMINO;53139
SENADOR JOSÉ BENTO;53155
SENADOR MODESTINO GONÇALVES;53171
SENHORA DE OLIVEIRA;53198
SENHORA DO PORTO;53210
SENHORA DOS REMÉDIOS;53236
SERICITA;53252
SERITINGA;53279
SERRA AZUL DE MINAS;53295
SERRA DA SAUDADE;53317
SERRA DO SALITRE;53350
SERRA DOS AIMORÉS;53333
SERRANÓPOLIS DE MINAS;42382
SERRANIA;53376
SERRANOS;53392
SERRO;53414
SETE LAGOAS;53430
SETUBINHA;42404
SILVEIRÂNIA;53457
SILVIANÓPOLIS;53473
SIMÃO PEREIRA;53490
SIMONÉSIA;53511
SOBRÁLIA;53538
SOLEDADE DE MINAS;53554
TABULEIRO;53570
TAIOBEIRAS;53597
TAPARUBA;42420
TAPIRAÍ;53635
TAPIRA;53619
TAQUARAÇU DE MINAS;53651
TARUMIRIM;53678
TEÓFILO OTONI;53716
TEIXEIRAS;53694
TIMÓTEO;53732
TIRADENTES;53759
TIROS;53775
TOCANTINS;53791
TOCOS DO MOJI;42587
