PIEDADE DE PONTE NOVA;50032;3945
PIEDADE DO RIO GRANDE;50059;4095
PIEDADE DOS GERAIS;50075;4763
PIMENTA;50091;7091
PINGO D'AGUA;41360;4363
PINTOPOLIS;41386;6368
PIRACEMA;50113;6029
PIRAJUBA;50130;4085
PIRANGA;50156;13541
PIRANGUCU;50172;4781
PIRANGUINHO;50199;6946
PIRAPETINGA;50210;9470
PIRAPORA;50237;41109
PIRAUBA;50253;9573
PITANGUI;50270;20689
PIUMHI;50296;25513
PLANURA;50318;8459
POCO FUNDO;50334;12795
POCOS DE CALDAS;50350;115960
POCRANE;50377;7602
POMPEU;50393;23418
PONTE NOVA;50415;43215
PONTO CHIQUE;41408;3883
PONTO DOS VOLANTES;40584;8794
PORTEIRINHA;50431;31269
PORTO FIRME;50458;8917
POTE;50474;12754
POUSO ALEGRE;50490;100087
POUSO ALTO;50512;5721
PRADOS;50539;6831
PRATA;50555;21028
PRATAPOLIS;50571;7642
PRATINHA;50598;2888
PRESIDENTE BERNARDES;50610;5678
PRESIDENTE JUSCELINO;50636;4348
PRESIDENTE KUBITSCHEK;50652;2758
PRESIDENTE OLEGARIO;50679;16545
PRUDENTE DE MORAIS;50717;7333
QUARTEL GERAL;50733;3395
QUELUZITO;50750;2411
RAPOSOS;50776;12649
RAUL SOARES;50792;17826
RECREIO;50814;7897
REDUTO;41424;5740
RESENDE COSTA;50830;9004
RESPLENDOR;50857;13429
RESSAQUINHA;50873;4135
RIACHINHO;40606;5469
RIACHO DOS MACHADOS;50890;7615
RIBEIRAO DAS NEVES;50911;196133
RIBEIRAO VERMELHO;50938;3275
RIO ACIMA;50954;8122
RIO CASCA;50970;11621
RIO DO PRADO;51012;4320
RIO DOCE;50997;2330
RIO ESPERA;51039;5319
RIO MANSO;51055;4575
RIO NOVO;51071;7200
RIO PARANAIBA;51098;10098
RIO PARDO DE MINAS;51110;21135
RIO PIRACICABA;51136;12590
RIO POMBA;51152;14014
RIO PRETO;51179;5210
RIO VERMELHO;51195;11064
RITAPOLIS;51217;4532
ROCHEDO DE MINAS;51233;2431
RODEIRO;51250;6399
ROMARIA;51276;2897
ROSARIO DA LIMEIRA;40622;5075
RUBELITA;51292;7968
RUBIM;51314;6757
SABARA;51330;90539
SABINOPOLIS;51357;12454
SACRAMENTO;51373;19452
SALINAS;51390;31215
SALTO DA DIVISA;51411;4975
SANTA BARBARA DO LESTE;40649;7155
SANTA BARBARA DO MONTE VERDE;41440;2967
SANTA BARBARA DO TUGURIO;51454;4324
SANTA BARBARA;51438;22948
SANTA CRUZ DE MINAS;41467;6563
SANTA CRUZ DE SALINAS;41483;4442
SANTA CRUZ DO ESCALVADO;51470;4902
SANTA EFIGENIA DE MINAS;51497;4117
SANTA FE DE MINAS;51519;3478
SANTA HELENA DE MINAS;41505;4935
SANTA JULIANA;51535;9134
SANTA LUZIA;51551;154877
SANTA MARGARIDA;51578;12439
SANTA MARIA DE ITABIRA;51594;8718
SANTA MARIA DO SALTO;51616;4473
SANTA MARIA DO SUACUI;51632;12665
SANTA RITA DE CALDAS;51837;7203
SANTA RITA DE JACUTINGA;51853;4148
SANTA RITA DE MINAS;40665;6011
SANTA RITA DO IBITIPOCA;51870;3290
SANTA RITA DO ITUETO;51896;4808
SANTA RITA DO SAPUCAI;51918;29539
SANTA ROSA DA SERRA;51934;3424
SANTA VITORIA;51950;16218
SANTANA DA VARGEM;51659;5960
SANTANA DE CATAGUASES;51675;3022
SANTANA DE PIRAPAMA;51691;7460
SANTANA DO DESERTO;51713;3344
SANTANA DO GARAMBEU;51730;2210
SANTANA DO JACARE;51756;4037
SANTANA DO MANHUACU;51772;7209
SANTANA DO PARAISO;40681;20334
SANTANA DO RIACHO;51799;5146
SANTANA DOS MONTES;51810;3898
SANTO ANTONIO DO AMPARO;51977;13795
SANTO ANTONIO DO AVENTUREIRO;51993;3749
SANTO ANTONIO DO GRAMA;52019;4052
SANTO ANTONIO DO ITAMBE;52035;3974
SANTO ANTONIO DO JACINTO;52051;9402
SANTO ANTONIO DO MONTE;52078;19415
SANTO ANTONIO DO RETIRO;41521;6007
SANTO ANTONIO DO RIO ABAIXO;52094;2033
SANTO HIPOLITO;52116;2819
SANTOS DUMONT;52132;39074
SAO BENTO ABADE;52159;3895
SAO BRAS DO SUACUI;52175;3543
SAO DOMINGOS DAS DORES;41548;4834
SAO DOMINGOS DO PRATA;52191;13830
SAO FELIX DE MINAS;41564;3678
SAO FRANCISCO DE PAULA;52230;5854
SAO FRANCISCO DE SALES;52256;4883
SAO FRANCISCO DO GLORIA;52272;4422
SAO FRANCISCO;52213;40513
SAO GERALDO DA PIEDADE;52310;4048
SAO GERALDO DO BAIXIO;41580;3135
SAO GERALDO;52299;6764
SAO GONCALO DO ABAETE;52337;5047
SAO GONCALO DO PARA;52353;8326
SAO GONCALO DO RIO ABAIXO;52370;10747
SAO GONCALO DO RIO PRETO;45098;3033
SAO GONCALO DO SAPUCAI;52396;18693
SAO GOTARDO;52418;25593
SAO JOAO BATISTA DO GLORIA;52434;6152
SAO JOAO DA LAGOA;40703;4795
SAO JOAO DA MATA;52450;3223
SAO JOAO DA PONTE;52477;22659
SAO JOAO DAS MISSOES;41602;8830
SAO JOAO DEL REI;52493;66439
SAO JOAO DO MANHUACU;40720;8711
SAO JOAO DO MANTENINHA;40746;5217
SAO JOAO DO ORIENTE;52515;7139
SAO JOAO DO PACUI;40762;3877
SAO JOAO DO PARAISO;52531;17154
SAO JOAO EVANGELISTA;52558;12304
SAO JOAO NEPOMUCENO;52574;20455
SAO JOAQUIM DE BICAS;41629;19067
SAO JOSE DA BARRA;41645;6294
SAO JOSE DA LAPA;40789;17272
SAO JOSE DA SAFIRA;52590;4090
SAO JOSE DA VARGINHA;52612;3617
SAO JOSE DO ALEGRE;52639;3773
SAO JOSE DO DIVINO;52655;3337
SAO JOSE DO GOIABAL;52671;4807
SAO JOSE DO JACURI;52698;5197
SAO JOSE DO MANTIMENTO;52710;2911
SAO LOURENCO;52736;33042
SAO MIGUEL DO ANTA;52752;6076
SAO PEDRO DA UNIAO;52779;4370
SAO PEDRO DO SUACUI;52817;4646
SAO PEDRO DOS FERROS;52795;6942
SAO ROMAO;52833;7007
SAO ROQUE DE MINAS;52850;5584
SAO SEBASTIAO DA BELA VISTA;52876;5268
SAO SEBASTIAO DA VARGEM ALEGRE;42340;2438
SAO SEBASTIAO DO ANTA;42366;5505
SAO SEBASTIAO DO MARANHAO;52892;9121
SAO SEBASTIAO DO OESTE;52914;7103
SAO SEBASTIAO DO PARAISO;52930;50192
SAO SEBASTIAO DO RIO PRETO;52957;1621
SAO SEBASTIAO DO RIO VERDE;52973;2005
SAO THOME DAS LETRAS;53031;4312
SAO TIAGO;52990;8709
SAO TOMAS DE AQUINO;53015;5994
SAO VICENTE DE MINAS;53058;5809
SAPUCAI MIRIM;53074;5491
SARDOA;53090;4949
SARZEDO;40800;19924
SEM PEIXE;40827;3582
SENADOR AMARAL;40843;5003
SENADOR CORTES;53112;2348
SENADOR FIRMINO;53139;6468
SENADOR JOSE BENTO;53155;2093
SENADOR MODESTINO GONCALVES;53171;4762
SENHORA DE OLIVEIRA;53198;5422
SENHORA DO PORTO;53210;3310
SENHORA DOS REMEDIOS;53236;7898
SERICITA;53252;6574
SERITINGA;53279;1784
SERRA AZUL DE MINAS;53295;3834
SERRA DA SAUDADE;53317;959
SERRA DO SALITRE;53350;8992
SERRA DOS AIMORES;53333;5786
SERRANIA;53376;6663
SERRANOPOLIS DE MINAS;42382;3917
SERRANOS;53392;1954
SERRO;53414;16868
SETE LAGOAS;53430;160413
SETUBINHA;42404;8820
SILVEIRANIA;53457;2639
SILVIANOPOLIS;53473;4879
SIMAO PEREIRA;53490;2956
SIMONESIA;53511;15005
SOBRALIA;53538;4589
SOLEDADE DE MINAS;53554;5130
TABULEIRO;53570;4429
TAIOBEIRAS;53597;24948
TAPARUBA;42420;3156
TAPIRA;53619;4162
TAPIRAI;53635;1676
TAQUARACU DE MINAS;53651;4479
TARUMIRIM;53678;10597
TEIXEIRAS;53694;10321
TEOFILO OTONI;53716;103282
TIMOTEO;53732;60900
TIRADENTES;53759;6350
TIROS;53775;6115
TOCANTINS;53791;13309
TOCOS DO MOJI;42587;3851
TOLEDO;53813;5822
TOMBOS;53830;7268
TRES CORACOES;53856;55558
TRES MARIAS;41157;23387
TRES PONTAS;53872;43408
TUMIRITINGA;53899;5640
TUPACIGUARA;53910;19980
TURMALINA;53937;14921
TURVOLANDIA;53953;4120
UBA;53970;69602
UBAI;53996;9261
UBAPORANGA;40860;10278
UBERABA;54011;224864
UBERLANDIA;54038;478250
UMBURATIBA;54054;2580
UNAI;54070;60274
UNIAO DE MINAS;42447;2932
URUANA DE MINAS;42463;3184
URUCANIA;54097;8644
URUCUIA;40886;7297
VARGEM ALEGRE;40908;6699
VARGEM BONITA;54119;2396
VARGEM GRANDE DO RIO PARDO;42480;4006
VARGINHA;54135;98489
VARJAO DE MINAS;42501;5750
VARZEA DA PALMA;54151;27595
VARZELANDIA;54178;15846
VAZANTE;54194;16375
VERDELANDIA;42528;6754
VEREDINHA;42544;4969
VERISSIMO;54232;2932
VERMELHO NOVO;42560;4769
VESPASIANO;54259;78443
VICOSA;54275;56025
VIEIRAS;54291;3334
VIRGEM DA LAPA;54330;10393
VIRGINIA;54356;7378
VIRGINOPOLIS;54372;8613
VIRGOLANDIA;54399;4355
VISCONDE DO RIO BRANCO;54410;30058
VOLTA GRANDE;54437;4864
WENCESLAU BRAZ;54216;2990
